id,name,website,email,tax_code,created_by,active_jobs,total_jobs,reason
8d084808-988f-4b98-b4e6-d38ffbceb4e3,AI Tech Lab,,,,system,0,0,explicit_fake
4add5263-5bff-4cf8-b00a-1a93e34c0cfd,AI Tech Lab,,,,system,0,0,explicit_fake
62db82b4-b20d-468e-89e3-2365f072e2e8,AI Tech Lab,,,,system,0,0,explicit_fake
f2bb00a8-5178-4164-a840-17ca43a344d7,Apex Intelligence,https://www.apex-intelligence.com,contact@apex-intelligence.com,1357164774,CompanySeeder,0,0,synthetic_seed
3a019ced-3508-4f5d-aeb5-3d7b63b2deb1,Apex Networks Vietnam,https://www.apex-networks-vietnam.com,contact@apex-networks-vietnam.com,1649415771,CompanySeeder,0,0,synthetic_seed
fe315150-7ba6-479c-ada8-c0403d097710,Blue Code,https://www.blue-code.com,contact@blue-code.com,5548506635,CompanySeeder,0,0,synthetic_seed
f0a5911b-5772-46bd-953a-899986ff1854,Blue Hub Vietnam,https://www.blue-hub-vietnam.com,contact@blue-hub-vietnam.com,3709506018,CompanySeeder,0,0,synthetic_seed
1b5f3433-9b7b-40e4-bca2-af255e5610dd,Blue Innovation,https://www.blue-innovation.com,contact@blue-innovation.com,3266075689,CompanySeeder,0,0,synthetic_seed
c12433e3-fdc1-4c3b-972a-111205c2e075,Blue Solutions,https://www.blue-solutions.com,contact@blue-solutions.com,9273197967,CompanySeeder,0,0,synthetic_seed
70ec2bca-08d5-4c79-8aa4-21bf770bdc42,Cloud Code,https://www.cloud-code.com,contact@cloud-code.com,3976158464,CompanySeeder,0,0,synthetic_seed
01ed60a9-5468-45fe-8600-0f4877b97105,Cloud Digital,https://www.cloud-digital.com,contact@cloud-digital.com,8046587306,CompanySeeder,0,0,synthetic_seed
aead2263-9761-4960-8347-a3eb4ceed4d5,Cloud Labs,https://www.cloud-labs.com,contact@cloud-labs.com,6927670940,CompanySeeder,0,0,synthetic_seed
ebbe5bc7-78d9-492b-8884-70f240cce758,Cloud Media Vietnam,https://www.cloud-media-vietnam.com,contact@cloud-media-vietnam.com,9061884791,CompanySeeder,0,0,synthetic_seed
fb6c553b-6c61-4e02-823a-a7c7e01348ce,Cloud Space,https://www.cloud-space.com,contact@cloud-space.com,0737028382,CompanySeeder,0,0,synthetic_seed
0fc4e4be-0b52-46cc-bf5e-b6c356322f1d,Cloud Systems,https://www.cloud-systems.com,contact@cloud-systems.com,2670812977,CompanySeeder,0,0,synthetic_seed
b474e9bd-2fc2-408a-b406-c80cd73655fa,Cloud Technologies,https://www.cloud-technologies.com,contact@cloud-technologies.com,8375555974,CompanySeeder,0,0,synthetic_seed
7414fbc0-4169-464a-adb9-f151199f9448,Cyber Media,https://www.cyber-media.com,contact@cyber-media.com,7500314503,CompanySeeder,0,0,synthetic_seed
e0a58dd4-d115-45c2-a184-ab749b60c64e,Cyber Media Vietnam,https://www.cyber-media-vietnam.com,contact@cyber-media-vietnam.com,2198033463,CompanySeeder,0,0,synthetic_seed
